recipe_id,tag_id
9518,207
9518,4
154224,353
154224,326
154224,89
154224,183
154224,93
154224,246
154224,7
154224,182
154224,223
154224,218
154224,103
154224,111
154224,30
154224,165
154224,160
154224,98
154224,213
154224,188
154224,224
154224,254
154224,109
145831,360
145831,89
145831,246
145831,284
145831,98
145831,180
145831,177
145831,6
205712,353
205712,326
205712,89
205712,183
205712,246
205712,211
205712,269
205712,96
205712,265
205712,84
205712,106
205712,126
205712,103
205712,30
205712,99
205712,165
205712,264
205712,105
205712,98
205712,318
205712,77
205712,330
205712,321
205712,317
205712,247
205712,278
301835,353
301835,326
301835,89
301835,183
301835,246
301835,178
301835,7
301835,78
301835,96
301835,126
301835,103
301835,30
301835,98
301835,180
301835,156
301835,177
301835,4
483632,351
483632,326
483632,89
483632,183
483632,246
483632,211
483632,119
483632,12
483632,106
483632,337
483632,103
483632,99
483632,151
483632,338
483632,63
483632,98
483632,173
483632,174
483632,156
483632,177
483632,329
483632,46
483632,207
483632,4
483632,124
153800,353
153800,326
153800,89
153800,183
153800,246
153800,211
153800,178
153800,35
153800,289
153800,337
153800,103
153800,310
153800,98
153800,180
153800,173
153800,83
153800,174
153800,177
153800,329
153800,321
153800,109
459273,351
459273,326
459273,89
459273,183
459273,93
459273,246
459273,211
459273,204
459273,7
459273,12
459273,126
459273,10
459273,103
459273,99
459273,151
459273,165
459273,336
459273,338
459273,98
459273,153
459273,31
170981,351
170981,326
170981,89
170981,183
170981,246
170981,118
170981,178
170981,143
170981,7
170981,32
170981,40
170981,126
170981,337
170981,103
170981,176
170981,286
170981,98
170981,180
170981,175
170981,179
170981,173
170981,144
170981,177
170981,77
170981,217
170981,330
170981,22
170981,207
338753,352
338753,326
338753,89
338753,93
338753,246
338753,204
338753,181
338753,10
338753,98
338753,268
338753,147
338753,150
338753,149
323262,352
323262,326
323262,89
323262,246
323262,211
323262,119
323262,7
323262,182
323262,289
323262,103
323262,348
323262,70
323262,277
323262,207
432077,351
432077,326
432077,246
432077,211
432077,118
432077,7
432077,103
432077,30
432077,83
432077,156
432077,321
432077,207
257084,351
257084,326
257084,89
257084,183
257084,246
257084,12
257084,26
257084,103
257084,100
257084,117
257084,156
257084,109
257084,285
274746,351
274746,326
274746,89
274746,183
274746,93
274746,246
274746,211
274746,118
274746,178
274746,181
274746,287
274746,243
274746,337
274746,103
274746,111
274746,30
274746,165
274746,159
274746,98
274746,180
274746,328
274746,177
274746,327
274746,52
274746,207
31984,351
31984,326
31984,89
31984,183
31984,246
31984,211
31984,178
31984,7
31984,96
31984,126
31984,103
31984,165
31984,125
31984,98
31984,180
31984,177
31984,31
31984,311
309594,358
309594,8
309594,326
309594,89
309594,183
309594,246
309594,182
309594,27
309594,256
309594,98
309594,213
309594,130
309594,104
309594,138
309594,120
309594,188
309594,224
309594,44
201750,352
201750,326
201750,89
201750,246
201750,211
201750,178
201750,265
201750,99
201750,261
201750,264
201750,98
201750,180
201750,177
201750,321
345089,352
345089,326
345089,89
345089,183
345089,93
345089,246
345089,211
345089,204
345089,284
345089,337
345089,10
345089,294
345089,103
345089,99
345089,145
345089,151
345089,338
345089,98
345089,83
345089,88
345089,321
345089,247
345089,279
385071,353
385071,326
385071,89
385071,183
385071,246
385071,284
385071,106
385071,243
385071,337
385071,103
385071,63
385071,98
385071,180
385071,177
166476,351
166476,326
166476,89
166476,183
166476,246
166476,211
166476,181
166476,265
166476,26
166476,106
166476,337
166476,103
166476,30
166476,97
166476,338
166476,63
166476,98
166476,43
166476,156
166476,88
166476,136
166476,170
166476,46
166476,321
166476,327
301951,353
301951,326
301951,246
301951,178
301951,143
301951,7
301951,103
301951,176
301951,98
301951,180
301951,175
301951,179
301951,173
301951,144
301951,177
250024,352
250024,326
250024,89
250024,246
250024,211
250024,119
250024,259
250024,96
250024,348
250024,85
250024,277
250024,83
250024,156
250024,321
250024,271
250024,317
250024,207
204114,351
204114,326
204114,89
204114,246
204114,118
204114,178
204114,143
204114,7
204114,32
204114,103
204114,30
204114,165
204114,176
204114,286
204114,98
204114,180
204114,175
204114,173
204114,174
204114,144
204114,177
204114,207
223242,351
223242,326
223242,89
223242,246
223242,7
223242,339
223242,265
223242,103
223242,264
223242,98
223242,174
223242,177
223242,4
124597,360
124597,89
124597,183
124597,246
124597,211
124597,178
124597,143
124597,7
124597,181
124597,284
124597,337
124597,103
124597,99
124597,151
124597,98
124597,175
124597,173
124597,174
124597,104
124597,144
124597,120
124597,177
124597,16
124597,46
124597,321
124597,6
327059,352
327059,326
327059,89
327059,183
327059,246
