NDB_No,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_mg),Manganese_(mg),Selenium_(µg),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Panto_Acid_mg),Vit_B6_(mg),Folate_Tot_(µg),Folic_Acid_(µg),Food_Folate_(µg),Folate_DFE_(µg),Choline_Tot_ (mg),Vit_B12_(µg),Vit_A_IU,Vit_A_RAE,Retinol_(µg),Alpha_Carot_(µg),Beta_Carot_(µg),Beta_Crypt_(µg),Lycopene_(µg),Lut+Zea_ (µg),Vit_E_(mg),Vit_D_µg,Vit_D_IU,Vit_K_(µg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg),GmWt_1,GmWt_Desc1,GmWt_2,GmWt_Desc2,Cleaned_Desc
9050,84.21,57,0.74,0.33,0.24,14.49,2.4,9.96,6.0,0.28,6.0,12.0,77.0,1.0,0.16,0.057,0.336,0.1,9.7,0.037,0.041,0.418,0.124,0.052,6.0,0.0,6.0,6.0,6.0,0.0,54.0,3.0,0.0,0.0,32.0,0.0,0.0,80.0,0.57,0.0,0.0,19.3,0.028,0.047,0.146,0.0,148.0,1 cup,68.0,50 berries,blueberries
9053,85.8,57,0.0,0.16,0.19,13.85,4.4,,17.0,0.58,7.0,13.0,68.0,3.0,0.67,,2.87,,1.7,0.03,0.007,0.61,,0.02,,,,,,0.0,59.0,3.0,,2.0,35.0,,,,0.26,0.0,0.0,,0.03,0.02,0.09,0.0,140.0,"1 cup, frozen",,,blueberries wild frozen
9070,82.25,63,1.06,0.2,0.48,16.01,2.1,12.82,13.0,0.36,11.0,21.0,222.0,0.0,0.07,0.06,0.07,0.0,7.0,0.027,0.033,0.154,0.199,0.049,4.0,0.0,4.0,4.0,6.1,0.0,64.0,3.0,0.0,0.0,38.0,0.0,0.0,85.0,0.07,0.0,0.0,2.1,0.038,0.047,0.052,0.0,138.0,"1 cup, with pits yields",154.0,"1 cup, without pits",cherries sweet
9078,87.32,46,0.46,0.13,0.12,11.97,3.6,4.27,8.0,0.23,6.0,11.0,80.0,2.0,0.09,0.056,0.267,0.1,14.0,0.012,0.02,0.101,0.295,0.057,1.0,0.0,1.0,1.0,5.5,0.0,63.0,3.0,0.0,0.0,38.0,0.0,0.0,91.0,1.32,0.0,0.0,5.0,0.008,0.018,0.055,0.0,110.0,"1 cup, chopped",100.0,"1 cup, whole",cranberries
9079,15.79,308,0.17,1.09,0.15,82.8,5.3,72.56,9.0,0.39,4.0,8.0,49.0,5.0,0.1,0.063,0.18,0.6,0.2,0.013,0.028,0.548,,0.038,0.0,0.0,0.0,0.0,8.3,0.0,46.0,2.0,0.0,0.0,27.0,0.0,0.0,138.0,2.1,0.0,0.0,7.6,0.088,0.298,0.182,0.0,40.0,.25 cup,,,cranberries dried swtnd
9081,58.45,159,0.9,0.15,0.1,40.4,1.1,31.75,3.0,0.41,2.0,4.0,28.0,5.0,0.03,0.026,0.073,0.4,1.0,0.015,0.021,0.1,,0.014,1.0,0.0,1.0,1.0,3.8,0.0,33.0,2.0,0.0,0.0,20.0,0.0,0.0,48.0,0.93,0.0,0.0,1.4,0.007,0.007,0.031,0.0,277.0,1 cup,57.0,"1 slice,  (1/2"" thick, approx 8 slices per can)",cranberry sauce cnd swtnd
9085,19.21,283,4.08,0.27,2.36,74.08,6.8,67.28,86.0,3.26,41.0,125.0,892.0,8.0,0.66,0.468,0.469,0.7,4.7,0.16,0.142,1.615,0.045,0.296,10.0,0.0,10.0,10.0,10.6,0.0,73.0,4.0,0.0,1.0,43.0,1.0,0.0,0.0,0.11,0.0,0.0,3.3,0.028,0.047,0.18,0.0,144.0,1 cup,,,currants zante dried
9089,79.11,74,0.75,0.3,0.66,19.18,2.9,16.26,35.0,0.37,17.0,14.0,232.0,1.0,0.15,0.07,0.128,0.2,2.0,0.06,0.05,0.4,0.3,0.113,6.0,0.0,6.0,6.0,4.7,0.0,142.0,7.0,0.0,0.0,85.0,0.0,0.0,9.0,0.11,0.0,0.0,4.7,0.06,0.066,0.144,0.0,64.0,"1 large,  (2-1/2"" dia)",50.0,"1 medium,  (2-1/4"" dia)",figs
9095,69.8,107,1.42,0.4,0.8,27.57,4.2,23.35,70.0,0.88,29.0,29.0,294.0,4.0,0.24,0.124,0.22,0.2,4.4,0.011,0.11,0.64,0.127,0.133,1.0,0.0,1.0,1.0,6.8,0.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,14.0,0.15,0.0,0.0,6.7,0.062,0.068,0.149,0.0,259.0,1 cup,,,figs dried stewed
9129,84.29,57,0.81,0.47,0.5,13.93,3.9,,37.0,0.26,14.0,24.0,203.0,1.0,0.11,0.119,1.973,,6.5,,1.5,,,,2.0,,2.0,,,,67.0,3.0,,1.0,39.0,1.0,0.0,64.0,,,,,,,,,6.0,1 grape,,,grapes muscadine
